empty_lines,non_empty_lines,average_line_length,line_length_deviation,words,unique_words,chars,tabulators,spaces,tab_indents,space_indents,prefers_tabs_over_spaces,whitespace_to_character_ratio,comments,comment_readability,one_line_to_all_comments,multi_line_to_all_comments,inline_to_all_comments,unindented_comments_to_all,preprocessor_directives,define_name_readability,using_stl_libraries,all_keywords,if_keywords,else_keywords,for_keywords,while_keywords,switch_keywords,do_keywords,variable_name_readability,custom_types,custom_type_name_readability,functions,function_name_readability,function_average_length,function_length_deviation,function_block_braces,nesting_depth,average_parameter_count,parameter_count_deviation,commands,average_commands_per_line,ternary_operations,negation_operator,uses_united_declarations,uses_range_based_for,creation_order,author
0,1,18.79069767,17.97840532,144,60,808,0,345,0,0.973684211,0,0.426980198,0,0,0,0,0,0,1,0,1,7,3,0,3,1,0,0,0.789473684,1,1,0,0,0,0,3,3,0,0,30,0.789473684,1,0,1,1,5,user10
0,1,28.55384615,20.20775194,413,76,3712,0,863,0,0.9140625,0,0.232489224,7,0.892857143,1,0,0,0.571428571,1,0,0,0,0,0,0,0,0,0,0.789473684,1,1,1,0,5,0,1,3,1,0,86,0.671875,0,0,0,0,6,user10
0,1,24.19166667,18.44908964,636,61,2903,0,751,0,0.783783784,0,0.258697899,1,1,1,0,0,0,1,0,0,27,7,0,20,0,0,0,0.789473684,1,1,3,0,5,1.333333333,1,4,1.333333333,0.444444444,106,0.954954955,0,0,0,0,6,user10
0,1,9.529411765,10.4529122,358,62,1944,0,1270,0,0.841836735,0,0.653292181,7,0.857142857,0,1,0,0,1,0,1,33,18,7,7,1,0,0,0.8,1,1,9,0.333333333,21.11111111,8.148148148,2,6,1.444444444,0.49382716,78,0.397959184,0,0,1,0,1,user11
0,1,17.36363636,12.67230444,122,54,764,0,184,0,0.833333333,0,0.240837696,9,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0.8,1,1,0,0,0,0,3,2,0,0,26,0.619047619,0,0,1,0,1,user11
0,1,17.39130435,17.1916996,72,24,400,9,56,8,0.666666667,1,0.1625,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0.8,0,1,0,0,0,0,3,3,0,0,7,0.388888889,0,0,0,0,10,user11
0,1,14.12121212,13.88298368,151,59,932,35,103,26,0.784313725,1,0.14806867,0,0,0,0,0,0,1,0,1,6,3,0,2,1,0,0,0.8,1,0.952380952,6,0.166666667,4.5,1.5,1,4,0.833333333,0.555555556,16,0.31372549,0,0,0,1,10,user11
0,1,17.56666667,9.495402299,74,31,527,0,80,0,0.777777778,0,0.151802657,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8,1,0.952380952,0,0,0,0,3,2,0,0,20,0.740740741,0,0,0,0,10,user11
0,1,19.38333333,13.03418079,201,59,1163,0,185,0,0.775862069,0,0.159071367,1,1,1,0,0,0,1,0,1,4,1,0,2,1,0,0,0.8,1,0.952380952,0,0,0,0,3,3,0,0,36,0.620689655,1,0,0,0,11,user11
0,1,16.34375,8.168346774,86,34,523,0,63,0,0.677419355,0,0.120458891,2,0.75,1,0,0,0,1,0,1,2,0,0,2,0,0,0,0.8,1,0.952380952,0,0,0,0,3,2,0,0,18,0.580645161,0,0,1,1,12,user11
0,1,13.5,11.53389831,154,43,810,0,316,0,0.793103448,0,0.390123457,0,0,0,0,0,0,1,0,1,6,4,0,2,0,0,0,0.8,1,0.952380952,0,0,0,0,3,3,0,0,24,0.413793103,0,0,0,1,12,user11
0,1,12.375,8.255434783,50,24,297,0,62,0,0.590909091,0,0.208754209,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0.8,1,0.952380952,0,0,0,0,3,2,0,0,10,0.454545455,0,0,0,1,12,user11
0,1,11.25352113,11.19939638,129,50,799,0,338,0,0.966101695,0,0.423028786,0,0,0,0,0,0,1,0,1,8,5,0,1,2,0,0,0.803278689,1,0.952380952,0,0,0,0,3,4,0,0,24,0.406779661,0,1,1,1,12,user11
0,1,11.59259259,11.69881202,113,31,626,0,91,0,0.31372549,0,0.145367412,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.803278689,1,0.952380952,9,0,4,0,2,2,0.333333333,0.444444444,15,0.294117647,0,0,0,0,12,user11
0,1,14.67032967,14.32197802,216,50,1335,0,448,0,0.720930233,0,0.335580524,0,0,0,0,0,0,1,0,1,11,5,0,2,4,0,0,0.803030303,1,0.952380952,7,0.142857143,13.66666667,2.222222222,2,4,0.571428571,0.489795918,31,0.360465116,0,0,1,1,12,user11
0,1,17,11.9375,44,25,289,0,46,0,0.642857143,0,0.15916955,1,0.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.803030303,1,0.952380952,0,0,0,0,3,2,0,0,9,0.642857143,0,0,0,0,12,user11
0,1,10.18,9.685306122,101,41,509,0,276,0,0.869565217,0,0.542239686,0,0,0,0,0,0,1,0,1,6,2,0,2,2,0,0,0.803030303,1,0.952380952,0,0,0,0,3,4,0,0,24,0.52173913,0,0,1,0,13,user11
0,1,11.4375,7.929166667,30,21,183,0,31,0,0.461538462,0,0.169398907,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.803030303,1,0.952380952,0,0,0,0,3,2,0,0,6,0.461538462,0,0,0,0,13,user11
0,1,12.93548387,10.75483871,68,31,401,0,115,0,0.75,0,0.286783042,0,0,0,0,0,0,1,0,1,4,0,0,2,2,0,0,0.803030303,1,0.952380952,0,0,0,0,3,4,0,0,15,0.535714286,0,0,0,0,13,user11
0,1,13.38518519,12.54626866,417,70,1807,0,917,0,0.782945736,0,0.507470946,48,0.96875,0.083333333,0.916666667,0,0,1,0,1,14,6,0,6,2,0,0,0.692307692,1,0.952380952,4,0.75,20,16,2,9,2.25,0.875,72,0.558139535,0,0,1,0,2,user11
0,1,18.80555556,11.24047619,123,38,677,0,85,0,0.628571429,0,0.125553914,6,0.923076923,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0.692307692,1,0.952380952,0,0,0,0,3,3,0,0,26,0.742857143,0,0,0,0,2,user11
0,1,11.6875,10.53427419,83,17,374,0,86,0,0.419354839,0,0.229946524,0,0,0,0,0,0,1,0,1,7,5,2,0,0,0,0,0.692307692,1,0.952380952,5,0.6,3.6,0.96,1,2,0.8,0.64,10,0.322580645,0,0,0,0,2,user11
0,1,23,16.26666667,65,31,368,0,36,0,0.6,0,0.097826087,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.692307692,1,0.952380952,0,0,0,0,3,2,0,0,10,0.666666667,0,0,0,0,3,user11
0,1,13.14285714,12.34391534,83,17,368,0,102,0,0.518518519,0,0.277173913,0,0,0,0,0,0,1,0,1,7,5,2,0,0,0,0,0.692307692,1,0.952380952,5,0.6,3.6,0.96,1,2,0.8,0.64,10,0.37037037,0,0,0,0,3,user11
0,1,15.44086022,15.24170173,267,63,1436,0,346,0,0.974358974,0,0.240947075,19,1,0,1,0,0,1,0,1,8,2,1,5,0,0,0,0.692307692,1,0.952380952,3,0.666666667,4,0,3,9,1,0.666666667,32,0.41025641,0,1,1,0,3,user11
0,1,15.88405797,14.34398977,194,44,1096,0,362,0,0.873015873,0,0.330291971,0,0,0,0,0,0,1,0,1,7,3,0,4,0,0,0,0.692307692,1,0.952380952,2,1,30,11,3,4,0.5,0.5,30,0.476190476,0,0,0,1,4,user11
0,1,16.96153846,8.093846154,65,39,441,0,59,0,0.72,0,0.133786848,3,0.428571429,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0.692307692,1,0.952380952,0,0,0,0,3,3,0,0,14,0.56,1,0,0,0,4,user11
0,1,14.34722222,13.62226135,231,43,1033,27,270,14,0.720588235,1,0.287512101,0,0,0,0,0,0,1,0,0,12,1,0,11,0,0,0,0.692307692,1,0.952380952,2,0,8,0,1,3,1,0,43,0.632352941,1,0,1,0,4,user11
0,1,12.85087719,12.00209595,238,43,1465,117,324,45,0.798165138,1,0.301023891,4,0.857142857,0.25,0.5,0.25,0,1,0,0,20,8,6,0,6,0,0,0.692307692,1,0.952380952,6,0.833333333,15.5,10.83333333,2,2,0.666666667,0.666666667,43,0.394495413,0,0,0,0,5,user11
0,1,15.90178571,9.828909266,304,59,1781,8,502,8,0.890909091,1,0.28635598,45,0.909090909,0.044444444,0.955555556,0,0,1,0,1,12,4,2,6,0,0,0,0.692307692,1,0.952380952,2,1,53.5,47.5,3,3,2,0,82,0.745454545,0,0,1,1,5,user11
0,1,24.3258427,18.94997778,512,65,4330,0,543,0,1.114864865,0,0.125404157,26,1,0.307692308,0.692307692,0,0,1,0,1,0,0,0,0,0,0,0,0.692307692,1,0.952380952,2,0,16.5,11.5,3,3,0.5,0.5,111,0.75,0,0,0,0,6,user11
0,1,14.50384615,15.13702109,785,72,3771,0,1396,0,0.810699588,0,0.370193583,44,0.903225806,0.022727273,0.977272727,0,0,1,0,1,36,12,0,24,0,0,0,0.696202532,1,0.952380952,4,0,10.75,0.875,2,6,1,0.5,126,0.518518519,0,2,1,0,6,user11
0,1,13.14285714,9.957142857,45,26,276,0,52,0,0.647058824,0,0.188405797,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0.696202532,1,0.952380952,1,1,0,0,3,3,0,0,8,0.470588235,0,0,0,1,6,user11
0,1,12.03571429,6.675925926,58,18,337,0,97,0,0.807692308,0,0.287833828,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.696202532,1,0.952380952,0,0,0,0,3,2,0,0,22,0.846153846,0,0,0,0,7,user11
0,1,17.54609929,17.39417427,391,46,2474,0,573,0,0.674242424,0,0.231608731,0,0,0,0,0,0,1,0,0,18,3,2,13,0,0,0,0.696202532,1,0.952380952,2,1,5,2,3,3,0,0,73,0.553030303,0,0,1,0,7,user11
0,1,17.125,16.59166667,40,20,274,0,23,0,0.545454545,0,0.083941606,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6875,1,0.952380952,1,1,4,0,1,3,1,0,3,0.272727273,0,0,0,0,9,user11
